Source Term ID	Source Term	Mapped Term Label	Mapped Term IRI	Mapped Term CURIE	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS
DOID:0080795	acute basophilic leukemia	acute basophilic leukemia	http://www.ebi.ac.uk/efo/EFO_0003029	EFO:0003029	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080796	core binding factor acute myeloid leukemia	core binding factor acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_1002001	EFO:1002001	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080799	sinonasal undifferentiated carcinoma	Sinonasal Undifferentiated Carcinoma	http://www.ebi.ac.uk/efo/EFO_1000527	EFO:1000527	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080815	childhood-onset asthma	childhood onset asthma	http://www.ebi.ac.uk/efo/EFO_0004591	EFO:0004591	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:0080846	latent autoimmune diabetes in adults	latent autoimmune diabetes in adults	http://www.ebi.ac.uk/efo/EFO_0009706	EFO:0009706	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080850	pemphigus foliaceus	pemphigus foliaceus	http://www.ebi.ac.uk/efo/EFO_0008601	EFO:0008601	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080851	IgA pemphigus	IgA pemphigus	http://www.ebi.ac.uk/efo/EFO_0008604	EFO:0008604	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080852	paraneoplastic pemphigus	paraneoplastic pemphigus	http://www.ebi.ac.uk/efo/EFO_0008602	EFO:0008602	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0080898	cerebellofaciodental syndrome	Cerebellar-facial-dental syndrome	http://www.ebi.ac.uk/efo/EFO_0009030	EFO:0009030	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0090113	RIDDLE syndrome	RIDDLE syndrome	http://www.ebi.ac.uk/efo/EFO_0009055	EFO:0009055	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0110123	Bardet-Biedl syndrome 1	Bardet-Biedl syndrome 1	http://www.ebi.ac.uk/efo/EFO_0009021	EFO:0009021	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0110126	Bardet-Biedl syndrome 4	Bardet-Biedl syndrome 4	http://www.ebi.ac.uk/efo/EFO_0009024	EFO:0009024	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0110127	Bardet-Biedl syndrome 5	Bardet-Biedl syndrome 5	http://www.ebi.ac.uk/efo/EFO_0009025	EFO:0009025	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0110129	Bardet-Biedl syndrome 7	Bardet-Biedl syndrome 7	http://www.ebi.ac.uk/efo/EFO_0009026	EFO:0009026	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0110131	Bardet-Biedl syndrome 9	Bardet-Biedl syndrome 9	http://www.ebi.ac.uk/efo/EFO_0009027	EFO:0009027	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0110132	Bardet-Biedl syndrome 10	Bardet-Biedl syndrome 10	http://www.ebi.ac.uk/efo/EFO_0009022	EFO:0009022	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0110134	Bardet-Biedl syndrome 12	Bardet-Biedl syndrome 12	http://www.ebi.ac.uk/efo/EFO_0009023	EFO:0009023	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111086	Fanconi anemia complementation group G	Fanconi anemia complementation group G	http://www.ebi.ac.uk/efo/EFO_0009046	EFO:0009046	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111088	Fanconi anemia complementation group F	Fanconi anemia complementation group F	http://www.ebi.ac.uk/efo/EFO_0009045	EFO:0009045	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111095	Fanconi anemia complementation group A	Fanconi anemia complementation group A	http://www.ebi.ac.uk/efo/EFO_0009044	EFO:0009044	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111495	combined oxidative phosphorylation deficiency 33	combined oxidative phosphorylation deficiency 33	http://www.ebi.ac.uk/efo/EFO_0009159	EFO:0009159	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111552	scapuloperoneal spinal muscular atrophy	Scapuloperoneal spinal muscular atrophy	http://www.ebi.ac.uk/efo/EFO_1001992	EFO:1001992	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111560	Charcot-Marie-Tooth disease type 1G	Charcot-Marie-Tooth disease type 1G	http://www.ebi.ac.uk/efo/EFO_0010266	EFO:0010266	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111624	ACTH-independent macronodular adrenal hyperplasia 2	acth-independent macronodular adrenal hyperplasia 2	http://www.ebi.ac.uk/efo/EFO_0009148	EFO:0009148	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111675	neurooculocardiogenitourinary syndrome	neurooculocardiogenitourinary syndrome	http://www.ebi.ac.uk/efo/EFO_0010663	EFO:0010663	TRUE	FALSE	FALSE	FALSE	FALSE
